year	qid	label
1954	Q2199534	1954 Bilderberg Conference
1955		
1956	Q3485005	1956 Bilderberg Conference
1957		
1958	Q2660277	1958 Bilderberg Conference
1959	Q2076799	1959 Bilderberg Conference
1960	Q1910425	1960 Bilderberg Conference
1961	Q4972068	1961 Bilderberg Conference
1962	Q2622914	1962 Bilderberg Conference
1963	Q2661267	1963 Bilderberg Conference
1964	Q2173447	1964 Bilderberg Conference
1965	Q2597468	1965 Bilderberg Conference
1966	Q2854858	1966 Bilderberg Conference
1967	Q2198052	1967 Bilderberg Conference
1968	Q5032340	1968 Bilderberg Conference
1969	Q2245579	1969 Bilderberg Conference
1970	Q1909108	1970 Bilderberg Conference
1971	Q2801965	1971 Bilderberg Conference
1972	Q5044799	1972 Bilderberg Conference
1973	Q2321479	1973 Bilderberg Conference
1974	Q1842198	1974 Bilderberg Conference
1975	Q4892014	1975 Bilderberg Conference
1976	Q3283349	1976 Bilderberg Conference
1977	Q13439375	1977 Bilderberg Conference
1978	Q2734715	1978 Bilderberg Conference
1979	Q2666061	1979 Bilderberg Conference
1980	Q2049185	1980 Bilderberg Conference
1981	Q5253461	1981 Bilderberg Conference
1982	Q2484253	1982 Bilderberg Conference
1983	Q2396267	1983 Bilderberg Conference
1984	Q2926097	1984 Bilderberg Conference
1985	Q3396284	1985 Bilderberg Conference
1986	Q2695547	1986 Bilderberg Conference
1987	Q3449638	1987 Bilderberg Conference
1988	Q2050430	1988 Bilderberg Conference
1989	Q2594264	1989 Bilderberg Conference
1990	Q2325765	1990 Bilderberg Conference
1991	Q1951596	1991 Bilderberg Conference
1992	Q3290723	1992 Bilderberg Conference
1993	Q13439376	1993 Bilderberg Conference
1994	Q3522479	1994 Bilderberg Conference
1995	Q2832111	1995 Bilderberg Conference
1996	Q2540837	1996 Bilderberg Conference
1997	Q2161251	1997 Bilderberg Conference
1998	Q2078846	1998 Bilderberg Conference
1999	Q2586625	1999 Bilderberg Conference
2000	Q2207871	2000 Bilderberg Conference
2001	Q2125414	2001 Bilderberg Conference
2002	Q2717394	2002 Bilderberg Conference
2003	Q2118846	2003 Bilderberg Conference
2004	Q13439377	2004 Bilderberg Conference
2005	Q3149529	2005 Bilderberg Conference
2006	Q2943925	2006 Bilderberg Conference
2007	Q2689792	2007 Bilderberg Conference
2008	Q2251337	2008 Bilderberg Conference
2009	Q2610047	2009 Bilderberg Conference
2010	Q2564087	2010 Bilderberg Conference
2011	Q1955837	2011 Bilderberg Conference
2012	Q2327460	2012 Bilderberg Conference
2013	Q13419271	2013 Bilderberg Conference
2014	Q17144373	2014 Bilderberg Conference
2015	Q20078597	2015 Bilderberg Conference
2016	Q24456212	2016 Bilderberg Conference
2017	Q30111361	2017 Bilderberg Conference
2018	Q59799074	2018 Bilderberg Conference
2019	Q65116037	2019 Bilderberg Conference
2020		
2021		
2022	Q118904714	2022 Bilderberg Conference
2023	Q119131008	2023 Bilderberg Conference
2024	Q126679102	2024 Bilderberg Conference
2025	Q135111494	2025 Bilderberg Conference
2026	Q139571708	2026 Bilderberg Conference
